JapneseName,EnglishName,TotalRating,NearstStation,FoodCategory,LunchRating,DinnerRating,ReviewCounts,Dishes,Service,Atmosphere,Cost performance,Drink
ALLIE,ALLIE,4.09,Azabu Juban,French,4.09,-,46,3.96,4.27,3.69,3.70,4.22
グルマンディーズ,Gourmandise,4.09,Hiro o,Bistro,4.09,-,32,4.09,4.01,3.89,3.99,3.84
しんせん 割烹 佐乃家,shinsenkappousanoya,4.09,Shinsen,Kappo (Traditional Japanese),4.08,-,19,4.09,3.82,3.64,4.22,3.97
リストランテ ラ・バリック トウキョウ,Ristorante La Barrique Tokyo,4.08,Edogawabashi,Italian,4.03,4.03,367,4.07,4.22,4.32,3.80,4.22
銀座 鮨 かねさか 本店,Ginza Sushi KANESAKA,4.08,Shimbashi,Sushi,4.07,3.97,279,4.09,4.31,3.84,3.65,3.77
みかわ 是山居,Mikawa Zezankyo,4.08,Monzen Nakacho,Tempura,4.06,3.96,218,4.06,3.64,3.94,3.63,3.62
ル スプートニク,Le sputnik,4.08,Roppongi,French,4.02,4.12,120,4.08,3.87,3.78,3.94,3.82
東京肉しゃぶ家,Toukyounikushabuya,4.08,Higashi Shinjuku,Shabu Shabu (Japanese Steamboat),4.08,3.57,114,4.08,3.92,3.67,4.12,3.95
Lien,Lien,4.08,Ikejiri Ohashi,French,4.09,3.62,103,4.06,3.73,3.65,4.58,3.66
和食 こんどう,Kondo,4.08,Yotsuya Sanchome,Kappo (Traditional Japanese),4.08,3.06,89,4.08,3.67,3.63,4.43,3.68
Convivio,konvivio,4.08,Kita Sando,Italian,4.02,4.04,76,4.07,4.20,4.08,4.05,4.07
すし家,Sushiya,4.08,Ginza,Sushi,3.80,4.28,74,4.08,3.91,3.84,3.89,3.62
私厨房 勇,Yung,4.08,Shirokanedai,Chinese,4.08,-,72,4.08,3.89,3.92,3.98,3.63
シャントレル,Les Chanterelles,4.08,Yoyogi Hachiman,French,3.98,4.08,71,4.09,3.65,3.85,3.62,3.67
ほかけ,Hokake,4.08,Higashi Ginza,Sushi,4.08,3.80,63,4.08,3.62,3.89,3.59,3.64
ボッテガ,BOTTEGA,4.08,Hiro o,Italian,4.08,3.04,52,4.08,3.82,3.63,3.63,3.85
センス,SENSE,4.07,Mitsukoshimae,Chinese,4.03,4.12,400,4.07,3.89,4.54,3.59,3.72
吟八亭 やざ和,Gimpachitei Yazawa,4.07,Kameari,Soba,3.88,4.02,304,4.12,3.59,3.61,3.60,3.59
ラール・エ・ラ・マニエール,Lart et la maniere,4.07,Ginza,French,3.97,4.07,209,4.13,4.06,4.04,3.88,4.32
ふぐ 牧野,Makino,4.07,Inaricho,Fugu (Blowfish),4.07,-,101,4.09,3.58,3.59,3.63,3.58
ブーケ・ド・フランス,Bouquet de France,4.07,Roppongi,French,4.10,3.88,95,4.03,3.81,3.61,3.63,3.92
プリンチピオ,Principio,4.07,Azabu Juban,Italian,4.06,3.70,81,4.11,3.72,3.61,3.65,3.59
日本橋 蕎ノ字,nihombashisonoji,4.07,Ningyocho,Tempura,4.04,4.01,81,4.07,3.75,3.74,3.87,3.64
霞庭 まつばら,Kasumitei Matsubara,4.07,Roppongi,Kaiseki (Traditional Japanese),4.09,3.78,78,4.06,3.65,3.68,3.83,3.60
トロワフレーシュ,TROIS FLECHES,4.07,Uchisaiwaicho,Steak,4.11,-,43,4.12,4.08,3.97,3.63,3.61
麺屋一燈,Itto,4.06,Shin Koiwa,Ramen,3.92,3.99,1259,4.08,3.65,3.63,3.61,3.51
トマト,Tomato,4.06,Ogikubo,European-style Curry,4.05,3.99,943,4.11,3.77,3.61,3.59,3.54
Homemade Ramen 麦苗,Homemade Ramen Muginae,4.06,Omorikaigan,Ramen,3.82,4.06,450,4.06,3.64,3.63,3.63,3.62
シュマン,Chemins,4.06,Akasaka,French,4.21,3.75,211,4.00,3.62,3.68,3.68,3.75
トゥールダルジャン 東京,TOUR D'ARGENT,4.06,Nagatacho,French,4.13,3.83,203,4.08,3.81,4.27,3.58,4.08
江戸前鮓 すし通,Sushi Tsu,4.06,Roppongi,Sushi,4.03,4.12,199,4.14,3.82,3.73,3.61,3.64
サラマンジェ ド イザシ ワキサカ,SALLE A MANGER de Hisashi WAKISAKA,4.06,Ginza,French,4.04,3.66,173,4.06,3.61,3.60,3.70,3.63
コントワール ミサゴ,COMPTOIR MISSAGO,4.06,Hiro o,French,4.07,3.80,119,4.11,3.63,3.61,3.67,3.62
鳥みつ,Torimitsu,4.06,Seibu Shinjuku,Yakitori (Grilled chicken),4.06,-,108,4.06,3.61,3.55,4.21,3.59
鮨 竜介,Ryusuke,4.06,Ginza,Sushi,4.08,3.90,98,4.05,3.96,3.94,4.11,3.62
ボナ・フェスタ,BONA FESTA,4.06,Asakusa,Russian,4.04,4.00,87,4.06,4.05,3.61,4.01,3.58
プレヴナンス,Prevenance,4.06,Gaiemmae,French,3.93,4.10,86,4.06,3.96,3.80,4.06,3.90
ラパルタメント ディ ナオキ,L'appartamento di NAOKI,4.06,Azabu Juban,Italian,4.06,3.57,82,4.07,3.65,3.78,3.76,3.65
串揚げはやし,Hayashi,4.06,Kagurazaka,Kushi-age (Fried Skewer),4.06,3.05,76,4.07,3.76,3.63,3.97,3.70
オルグイユ,L'orgueil,4.06,Gaiemmae,French,4.09,3.92,65,4.06,3.94,3.87,4.01,4.13
レンゲ,Renge,4.06,Ginza,Chinese,4.05,3.06,52,4.05,3.92,3.95,3.75,3.68
鮓 ふじなが,Sushifujinaga,4.06,Azabu Juban,Sushi,4.06,-,41,4.03,4.01,4.19,3.58,3.96
玉笑,Tamawarai,4.05,Meiji Jingumae,Soba,3.93,4.00,460,4.12,3.61,3.87,3.58,3.61
とり喜,Toriki,4.05,Kinshicho,Yakitori (Grilled chicken),4.05,3.53,410,3.97,3.63,3.68,3.69,3.62
焼肉 ジャンボ 本郷店,Jambo Hongo,4.05,Hongo Sanchome,Yakiniku (BBQ Beef),4.05,3.08,354,4.05,3.68,3.62,3.63,3.59
エディション・コウジ シモムラ,EdiTion Koji Shimomura,4.05,Roppongi Itchome,French,4.06,3.94,281,4.07,3.88,3.76,3.61,3.63
佐賀牛 季楽 銀座 ,Kira Ginza,4.05,Ginza,Teppanyaki,4.04,3.94,257,3.94,4.22,3.87,3.66,3.61
Ata,Ata,4.05,Daikan yama,Bistro,4.05,3.20,213,4.07,3.75,3.75,4.01,3.75
セララバアド,Celaravird ,4.05,Yoyogi Uehara,"Innovative cuisine, Fusion cuisine",4.01,3.55,137,4.02,3.90,4.09,3.76,3.73
ライラ,Lyla,4.05,Akasaka,French,4.07,3.88,135,4.05,3.74,3.78,4.18,3.65
久遠の空,Kuonnosora,4.05,Nakano,Grilled pork,4.05,-,127,4.06,3.64,3.63,3.77,3.59
ドンブラボー,Don Bravo,4.05,Kokuryo,Italian,4.06,3.80,114,4.06,3.73,3.61,3.69,3.67
マノワール・ディノ,Manoir d'Inno,4.05,Omote Sando,French,3.74,4.06,109,4.05,4.25,4.32,3.64,3.81
加藤牛肉店 銀座,Kato Gyunikuten Ginza,4.05,Ginza,Steak,4.05,-,78,4.06,3.61,3.59,3.61,3.58
ミモザ,Mimosa,4.05,Omote Sando,Shanghai Cuisine,4.05,3.06,61,4.05,3.68,3.92,3.93,3.66
南青山 七鳥目,minamiaoyamananachoume,4.05,Hiro o,Yakitori (Grilled chicken),4.05,-,42,4.05,3.61,3.64,3.77,3.61
SECRETO,SECRETO,4.05,Ushigome Kaguraz,"Innovative cuisine, Fusion cuisine",4.05,-,35,4.04,4.27,4.18,3.91,3.62
蒼穹,Soukyuu,4.05,Ushigome Kaguraz,Kaiseki (Traditional Japanese),4.05,-,25,4.05,4.12,4.06,4.00,4.15
さき田,Sakita,4.05,Inokashira Koen,Sushi,3.80,3.62,25,4.05,4.05,4.15,4.23,3.66
オマージュ,HOMMAGE,4.04,Asakusa,French,3.91,4.11,353,4.05,3.84,3.65,3.81,3.66
生粋,Namaiki,4.04,Suehirocho,Yakiniku (BBQ Beef),4.04,3.13,352,4.05,3.73,3.65,3.97,3.58
レストラン マノワ,Restaurant MANOIR,4.04,Hiro o,French,4.04,3.99,240,4.05,4.20,3.89,4.18,4.03
レストラン タテル ヨシノ 銀座,Restaurant tateru yoshino Ginza,4.04,Higashi Ginza,French,3.96,4.00,234,4.05,4.13,4.20,3.79,3.95
ヴィンチェロ,Vincero,4.04,Shinjuku Gyoemma,Italian,4.11,3.65,183,4.07,3.61,3.58,3.73,3.98
鈴木,Suzuki,4.04,Chofu,Unagi (Freshwater eel),3.93,3.98,176,4.08,3.63,3.73,3.59,3.58
鮨竹,Sushi Take,4.04,Ginza,Sushi,4.04,-,77,4.04,3.85,3.89,3.99,3.62
麤皮,ARAGAWA,4.04,Onarimon,Steak,4.04,3.96,73,4.07,4.04,3.87,3.58,3.91
とく山,Tokuyama,4.04,Hiro o,Kappo (Traditional Japanese),4.04,-,52,4.05,3.80,3.62,3.92,3.85
中華 うずまき,Uzumaki,4.04,Akasaka,Chinese,4.04,3.08,41,4.05,3.61,3.61,3.67,3.61
うなぎ 赤坂 勢きね,Unagiakasakasekine,4.04,Akasaka,Unagi (Freshwater eel),4.03,3.61,29,4.04,3.82,4.00,3.77,4.01
てんぷら 近藤,Kondo,4.03,Ginza,Tempura,4.02,3.93,409,4.07,3.63,3.77,3.62,3.58
東京チャイニーズ 一凛,Tokyo Chinese Ichirin,4.03,Shintomicho,Sichuan Cuisine,4.03,3.83,265,4.02,3.71,3.61,4.11,3.66
クラフタル,CRAFTALE,4.03,Naka Meguro,Modern French,3.94,4.17,112,4.03,3.94,3.59,4.00,3.91
アビス,Abysse,4.03,Gaiemmae,French,4.06,3.97,107,4.03,3.87,3.94,4.00,3.90
レクテ,Recte,4.03,Daikan yama,French,4.00,4.00,80,4.03,3.92,3.63,3.94,3.90
寿司 いずみ,Izumi,4.03,Musashi Koyama,Sushi,4.03,3.12,70,4.05,3.94,3.63,3.66,4.01
青草窠,Seisoka,4.03,Hiro o,Kaiseki (Traditional Japanese),3.68,3.83,64,4.03,3.73,4.28,3.85,3.61
鳥田中,Toritanaka,4.03,Kanegafuchi,Fowl,4.03,-,63,4.03,3.99,3.68,4.35,3.82
アカーチェ,Le Acacie,4.03,Gaiemmae,Italian,4.03,3.18,51,4.03,4.28,3.98,3.90,3.98
レヴォル,L'Evol,4.03,Gaiemmae,French,4.06,3.88,45,4.02,4.16,4.20,3.89,3.58
味ひろ,Ajihiro,4.03,Shintomicho,Kappo (Traditional Japanese),4.03,3.06,39,4.01,3.73,3.96,3.77,3.60
B,B,4.03,Jiyugaoka,French,4.03,3.58,20,4.03,3.68,3.58,4.28,3.58
イデミスギノ,HIDEMI SUGINO,4.02,Kyobashi,Cake,3.78,4.02,1094,4.03,3.60,3.60,3.58,3.58
丸一,Maruichi,4.02,Keikyu Kamata,Tonkatsu (Pork cutlet),3.88,4.00,777,4.03,3.58,3.58,3.84,3.51
ルメルシマン オカモト,Remerciements OKAMOTO,4.02,Omote Sando,French,3.63,4.07,113,4.02,3.61,3.61,3.91,3.63
グリグリ,Gri-gri,4.02,Azabu Juban,French,4.01,3.98,74,4.05,3.62,3.65,3.72,3.59
プリズマ,PRISMA,4.02,Omote Sando,Italian,4.02,3.51,68,4.07,3.71,3.98,3.73,3.97
割烹 互閃,Kappougosen,4.02,Akasaka,Kappo (Traditional Japanese),4.00,3.78,14,4.02,3.70,3.99,3.97,3.88
寿し処 寿々,Suzu,4.01,Tameike Sanno,Sushi,4.17,3.99,219,3.91,3.79,3.75,4.09,3.85
CROWN,CROWN,4.01,Otemachi,French,3.90,4.03,144,4.00,4.22,4.38,3.63,4.03
鮨 なかむら,Nakamura,4.01,Roppongi,Sushi,4.01,3.08,110,4.02,3.98,3.90,3.70,3.80
西洋料理 島,Shima,4.01,Kyobashi,Steak,4.02,3.73,101,4.02,3.77,3.65,3.85,3.63
神楽坂　鉄板焼 中むら,Kakugazakateppanyakinakamura,4.01,Iidabashi,Teppanyaki,4.01,-,82,4.00,4.16,3.93,3.88,3.81
ラ・ファソン 古賀,La facon koga,4.01,Yoyogi Uehara,French,4.03,3.87,68,4.00,3.79,3.61,3.68,3.62
蓮香,Renshan,4.01,Shirokane Takana,Chinese,4.01,-,66,4.01,3.59,3.58,4.02,3.59
Le Ciel,Le Ciel,4.01,Kunitachi,French,3.58,4.05,24,4.01,4.06,3.73,3.74,4.07
天ぷら 蕎楽亭,Kyorakutei,4.01,Wakamatsu Kawada,Tempura,4.01,-,20,4.02,4.12,4.29,3.72,3.61
アテスウェイ,à tes souhaits!,4.00,Nishi Ogikubo,Cake,3.59,3.99,1009,4.01,3.61,3.63,3.62,3.51
表参道うかい亭,OMOTESANDO Ukai-tei,4.00,Meiji Jingumae,Teppanyaki,3.98,3.92,354,4.00,3.96,4.54,3.61,3.82
てんぷらと和食 山の上 本店・御茶ノ水,tempuratowashokuyamanoue,4.00,Jimbocho,Tempura,3.96,3.96,258,3.97,3.69,3.62,3.59,3.59
焼肉くにもと 新館,Kunimoto Shinkan,4.00,Hamamatsucho,Yakiniku (BBQ Beef),4.00,-,234,4.01,3.62,3.59,3.63,3.59
龍圓,Ryuuen,4.00,Asakusa,Chinese,4.09,4.00,201,4.11,3.61,3.58,3.61,3.59
天冨良 よこ田,Yokota,4.00,Azabu Juban,Tempura,4.00,-,174,3.99,3.75,3.70,3.87,3.62
リストランテ･ヒロ  青山,RISTORANTE HiRo,4.00,Omote Sando,Italian,3.96,3.66,166,4.02,4.11,3.66,3.61,3.63
ポンテ デル ピアット,PONTE DEL PIATTO,4.00,Hiro o,Italian,4.01,3.96,135,4.01,4.03,3.98,4.02,3.98
ジョンティ アッシュ,Gentil H,4.00,Shirokanedai,French,3.86,4.05,131,4.01,3.73,3.86,3.63,3.63
カントニーズ 燕 ケン タカセ,Cantonese en KEN TAKASE,4.00,Tokyo,Cantonese Cuisine,3.79,3.84,115,3.95,3.66,3.90,3.58,3.60
ら すとらあだ,La Strada,4.00,Nakano Sakaue,Soba,3.95,3.91,106,4.00,3.61,3.59,3.94,3.85
海鮮名菜　香宮,SHANGU,4.00,Roppongi,Chinese,3.99,3.94,106,4.00,3.95,4.00,3.66,3.66
アルドアック,Ardoak,4.00,Yoyogi Hachiman,Spain,4.00,3.58,49,4.01,3.59,3.58,3.63,3.71
鉄板焼き いわ倉,teppanyakiiwakura,4.00,Ushigome Kaguraz,Kappo (Traditional Japanese),4.00,-,43,4.00,3.93,3.94,3.96,3.74
RODEO,RODEO,4.00,Naka Meguro,Italian,4.00,-,42,4.00,3.87,3.61,3.66,3.58
山の茶屋,Yamanochaya,4.00,Akasaka Mitsuke,Unagi (Freshwater eel),3.95,3.95,36,4.00,3.92,4.35,3.65,3.58
エルバ ダ ナカヒガシ,Erba da nakahigashi,4.00,Hiro o,Italian,4.00,-,31,4.00,3.91,3.63,3.80,3.83
多仁本,Tanimoto,4.00,Yotsuya Sanchome,Kappo (Traditional Japanese),4.00,3.57,23,4.00,3.80,3.62,4.03,3.88
焼肉 ジャンボ 白金,Jumbo Shirokane,3.99,Shirokane Takana,Yakiniku (BBQ Beef),3.99,3.06,504,4.00,3.62,3.60,3.59,3.59
焼肉 うしごろ 西麻布本店,Ushigoro Nishiazabu,3.99,Nogizaka,Yakiniku (BBQ Beef),3.99,-,360,3.96,3.66,3.68,3.61,3.61
レストラン ひらまつ,Restaurant Hiramatsu,3.99,Hiro o,French,3.88,3.91,283,4.00,3.97,3.93,3.59,3.78
レストラン サンパウ,RESTAURANT SANT PAU,3.99,Nihombashi,Spain,3.95,3.91,245,3.99,4.18,4.39,3.58,3.78
やきとり 心香,SHINKA,3.99,Roppongi,Fowl,3.99,-,72,3.99,3.92,3.96,3.66,3.68
鮨 一條,Sushiichijou,3.99,Bakuroyokoyama,Sushi,3.94,3.96,51,3.97,3.64,3.61,3.59,3.58
翁,Okina,3.99,Ebisu,Kaiseki (Traditional Japanese),3.99,-,41,4.01,3.59,3.64,3.07,3.58
OGINO organic Restaurant,oginoo-ganikkuresutoran,3.98,Ikejiri Ohashi,French,4.03,3.81,392,4.03,3.65,3.63,4.24,3.62
メゾン・ド・ユーロン,Maison de YULONG,3.98,Akasaka,Chinese,4.00,3.84,218,3.93,3.89,3.79,3.81,3.59
ラトラス,L’Atlas,3.98,Kagurazaka,French,4.07,3.82,195,4.04,3.66,3.67,3.67,3.63
トルナヴェント,TORNAVENTO,3.98,Roppongi,Italian,3.94,3.95,147,3.95,3.66,3.68,3.45,3.61
麻布 かどわき,Kadowaki,3.98,Azabu Juban,Kappo (Traditional Japanese),3.98,-,142,3.99,3.72,3.72,3.62,3.72
飄香 麻布十番本店,Piao-xiang Azabujuban Honten,3.98,Azabu Juban,Sichuan Cuisine,3.99,3.89,136,3.96,4.00,3.64,3.85,3.61
くろ﨑,Kurosaki,3.98,Shibuya,Sushi,3.98,3.05,103,3.97,3.80,3.78,3.68,3.74
うぶか,Ubuka,3.98,Yotsuya Sanchome,Crab,3.98,3.50,102,3.96,3.64,3.59,3.90,3.62
牧野,Makino,3.98,Shimbamba,Kappo (Traditional Japanese),3.98,-,87,3.96,3.59,3.58,3.89,3.59
サルメリアロッキュー,Sarumeriarokkyu,3.98,Seijogakuen Mae,Delicatessen,3.63,3.98,69,4.02,3.82,3.59,3.72,3.55
eclat,Ekura,3.98,Kichijoji,French,3.99,3.82,52,4.00,3.62,3.62,3.61,3.64
レストラン ローブ,Restaurant L'aube,3.98,Akabanebashi,French,3.97,3.90,46,3.98,3.97,3.84,3.85,3.78
鮨 波づき,Sushihaduki,3.98,Shimomaruko,Sushi,3.98,3.58,38,3.91,4.02,3.61,4.26,3.59
stesso e Magari CHIC,Stesso e Magari CHIC,3.98,Takaracho,Italian,3.88,3.98,34,3.98,3.96,3.63,3.63,3.94
オルディヴェール,ordiverre,3.98,Shirokane Takana,French,3.98,3.06,25,3.98,4.10,3.82,3.88,4.06
オルタナティブ,Alternative,3.98,Roppongi,French,3.98,4.05,10,3.98,3.68,4.02,3.75,3.58
丸五,Marugo,3.97,Akihabara,Tonkatsu (Pork cutlet),3.84,4.08,1042,4.04,3.65,3.59,3.61,3.58
タンドールバル カマルプール,Kamarupuru,3.97,Kiba,India cuisine,3.98,3.63,568,3.95,3.59,3.58,3.65,3.60
手打蕎麦 じゆうさん,Jiyu San,3.97,Higashi Nagasaki,Soba,3.97,3.96,383,3.97,3.59,3.63,3.60,3.59
SPICY CURRY 魯珈,Supaishikareroka,3.97,Okubo,Curry (other),3.76,3.97,369,3.97,3.60,3.58,3.65,3.57
レストラン香味屋,Resutorankamiya,3.97,Iriya,Western Cuisine,4.02,3.67,302,4.02,3.68,3.63,3.59,3.59
赤坂 みすじ,Misuji,3.97,Akasaka Mitsuke,Yakiniku (BBQ Beef),3.97,-,258,3.97,3.63,3.60,3.63,3.58
レストラン ラッセ,Restaurant L'asse,3.97,Meguro,Italian,3.97,3.92,147,3.97,3.92,3.92,3.69,3.74
アッピア アルタ 西麻布,Appia alta,3.97,Hiro o,Italian,3.97,-,115,3.73,4.02,3.78,3.58,3.84
チッタ アルタ,CITTA' ALTA,3.97,Korakuen,Italian,3.97,3.58,76,3.97,3.60,3.61,3.87,3.61
鮨 鈴木,sushisuzuki,3.97,Ginza,Sushi,3.85,3.96,74,3.97,3.79,3.88,3.73,3.58
豊栄,Houei,3.97,Myogadani,Chinese,3.98,3.56,72,3.94,3.58,3.58,4.05,3.58
マルゴット エ バッチャーレ,Margotto e Baciare,3.97,Hiro o,"Innovative cuisine, Fusion cuisine",3.97,-,69,3.97,4.12,3.99,3.61,3.92
セルサルサーレ,sel sal sale,3.97,Daikan yama,Italian,3.97,3.06,55,3.97,3.82,3.68,4.00,3.73
南方中華料理 南三,Nampouchuukaryouriminami,3.97,Yotsuya Sanchome,Chinese,3.97,-,34,3.97,3.62,3.58,4.21,3.61
Fukushima,Fukushima,3.97,Toritsu Daigaku,French,3.91,3.90,13,3.97,3.67,3.58,3.58,3.58
焼肉問屋 牛蔵,Gyuzo,3.96,Fujimidai,Yakiniku (BBQ Beef),3.96,3.09,721,3.97,3.65,3.59,4.18,3.65
うち山,Uchiyama,3.96,Ginza Itchome,Kaiseki (Traditional Japanese),3.91,3.92,336,3.96,3.73,3.77,3.66,3.56
サーラ アマービレ,Sala Amabile,3.96,Ginza Itchome,Italian,3.97,3.87,335,3.94,3.82,4.03,3.94,3.70
レザンファン ギャテ,Les enfants gates,3.96,Daikan yama,French,3.87,3.94,300,3.97,3.94,3.82,3.59,3.60
鰻禅,Unazen,3.96,Honjo Azumabashi,Unagi (Freshwater eel),3.70,3.95,274,3.96,3.59,3.58,3.76,3.58
Ristorante Cascina Canamilla,Ristorante Cascina Canamilla,3.96,Naka Meguro,Italian,3.92,3.99,242,3.99,3.85,4.06,3.72,3.78
デュ バリー,du Barry,3.96,Ikejiri Ohashi,French,3.95,3.87,214,3.89,3.85,3.70,4.02,3.67
帰燕,Kien,3.96,Roppongi Itchome,Kaiseki (Traditional Japanese),3.94,3.89,211,3.95,3.76,3.64,3.90,3.61
la Brianza,La Brianza,3.96,Roppongi,Italian,3.84,3.97,161,3.96,3.78,3.63,4.10,3.62
ビストロアム,Ame,3.96,Ebisu,French,3.99,3.68,123,4.00,3.62,3.60,4.15,3.60
EST!,Esuto,3.96,Yushima,Bar,3.96,-,118,3.72,3.87,3.82,3.59,3.97
鮨 たかはし,Sushi Takahashi,3.96,Ginza Itchome,Sushi,3.96,-,100,3.96,3.87,4.03,3.99,3.65
銀座 座屋,Izariya,3.96,Ginza Itchome,Kaiseki (Traditional Japanese),3.96,-,88,3.96,3.88,3.70,3.61,3.62
シチリア屋,Shichiriaya,3.96,Todaimae,Italian,3.95,3.61,85,3.96,3.65,3.67,3.99,3.65
羊SUNRISE,HITSUJI SUNRISE,3.96,Azabu Juban,Genghis Khan (BBQ Rum),3.96,-,76,3.90,3.61,3.59,3.59,3.58
CarneSio east,CarneSio east,3.96,Ebisu,Bistro,3.96,-,68,3.98,3.91,3.64,4.03,3.62
新橋鶴八,shimbashitsuruhachi,3.96,Shimbashi,Sushi,3.94,3.79,60,3.96,3.66,3.61,3.95,3.58
たでの葉,Tadenoha,3.96,Gaiemmae,Sumibiyaki,3.96,-,56,3.86,3.73,4.00,3.97,3.61
匠 誠,Takumimakoto,3.96,Shinjuku,Sushi,3.96,3.63,53,3.96,3.85,4.06,4.00,3.94
懐石 大原,Ohara,3.96,Yotsuya Sanchome,Kaiseki (Traditional Japanese),4.01,3.58,24,3.97,3.72,3.73,4.26,3.58
スペイン料理サルデスカ,Supeinryourisarudesuka,3.96,Uguisudani,Spain,3.96,3.20,21,3.96,3.62,3.61,3.80,3.63
レストラン ラフィナージュ,Resutoranrafinaju,3.96,Ginza,French,3.96,3.52,16,3.89,3.89,4.07,3.58,4.01
ラ ターブル ドゥ ジョエル・ロブション,LA TABLE de Joel Robuchon,3.95,Ebisu,French,3.95,3.86,357,3.96,4.03,4.31,3.74,3.70
六雁,Mutsukari,3.95,Ginza,Kappo (Traditional Japanese),3.95,-,201,3.95,3.96,4.03,3.70,3.63
焼き鳥 丈参,Takesan,3.95,Ningyocho,Yakitori (Grilled chicken),3.95,-,199,3.96,3.59,3.60,3.64,3.59
レストラン フウ,Restaurant FEU,3.95,Nogizaka,French,3.70,3.97,162,3.92,4.02,3.65,3.60,3.76
北京遊膳,Beijing Yuzen,3.95,Ogikubo,Chinese,3.95,3.59,117,3.95,3.97,3.58,3.64,3.59
毛利,mouri,3.95,Ginza,Bar,3.95,-,106,3.64,3.59,3.54,3.58,3.92
萬屋 おかげさん,Yorozuya Okagesan,3.95,Yotsuya Sanchome,Izakaya (Tavern),3.95,-,98,3.94,3.65,3.58,3.63,4.15
Le Bonze,Le Bonze,3.95,Higashi Ginza,Bistro,3.95,3.56,81,3.95,3.63,3.61,3.63,3.70
パッソ・ア・パッソ,Passo a Passo,3.95,Monzen Nakacho,Italian,3.95,3.09,80,3.94,3.89,3.66,3.62,3.81
敦煌,Tonko,3.95,Akebonobashi,Chinese,3.95,-,72,3.95,3.61,3.54,3.87,3.58
銀座 よし澤,Ginzayoshizawa,3.95,Ginza Itchome,Kappo (Traditional Japanese),3.93,3.98,67,3.95,3.96,3.89,3.64,3.79
浅草じゅうろく,Asakusajuuroku,3.95,Asakusa,Soba,3.94,3.77,65,3.95,3.86,3.72,3.86,3.84
銀座 奥田,Okuda,3.95,Ginza,Kaiseki (Traditional Japanese),3.86,4.02,58,3.95,4.08,4.04,3.66,3.98
白金台こばやし,shirokanedaikobayashi,3.95,Shirokanedai,Kappo (Traditional Japanese),3.74,3.99,56,3.95,4.00,3.99,4.04,3.70
焼鳥 うの,Yakitoriuno,3.95,Okusawa,Yakitori (Grilled chicken),3.95,-,51,3.95,3.76,3.85,4.01,3.64
ビストロ・シンバ,bistrosimba,3.95,Shintomicho,Bistro,3.95,-,51,3.89,3.73,3.59,3.66,3.63
ホスタリア エル・カンピドイオ,Er Campidojo,3.95,Chitose Funabash,Italian,3.95,-,23,3.95,3.65,3.65,3.68,3.73
竹政,Takemasa,3.95,Otsuka,Kappo (Traditional Japanese),3.95,-,19,3.91,3.64,3.58,3.58,3.68
リストランテ ラ チャウ,Ristrante La ciau,3.94,Tamachi,Italian,3.84,3.99,425,3.91,3.77,3.61,4.00,3.60
銀座 しまだ,Shimada,3.94,Shimbashi,Kappo (Traditional Japanese),3.94,3.25,358,3.94,3.59,3.59,4.02,3.59
アンティカ オステリア カルネヤ,ANTICA OSTERIA CARNEYA,3.94,Ushigome Yanagic,Italian,3.93,3.68,261,3.94,3.61,3.58,3.64,3.61
リストランティーノ　ルベロ,Ristorantino Lubero,3.94,Meguro,Italian,3.93,3.65,238,3.94,4.04,3.81,3.83,4.03
鳥かど,Torikado,3.94,Meguro,Yakitori (Grilled chicken),3.94,-,115,3.98,3.63,3.68,3.63,3.58
蕎麦切り 酒 大愚,Sobakirisaketaigu,3.94,Toranomon,Soba,3.95,3.64,83,3.94,3.59,3.59,3.72,3.82
ル・ヴァンキャトル,Le vin quatre,3.94,Kishibojimmae,French,3.97,3.79,70,3.96,3.59,3.61,3.91,3.62
フィリップ・ミル 東京,firippumirutoukyou,3.94,Nogizaka,French,3.92,3.82,52,3.94,4.03,4.12,3.58,3.98
アジル,ARGILE,3.94,Ginza,French,3.89,3.71,45,3.97,3.94,4.07,3.77,3.99
はらまさ,Haramasa,3.94,Yotsuya Sanchome,Kaiseki (Traditional Japanese),3.93,3.70,45,3.95,3.87,3.86,3.80,3.74
銀座 やまの辺 江戸中華,ginzayamanobeedochuuka,3.94,Shimbashi,Chinese,3.90,3.71,36,3.94,3.77,3.77,3.84,3.78
みくり,Mikuri,3.94,Takaracho,Kaiseki (Traditional Japanese),3.92,3.52,22,3.94,3.99,3.90,3.77,3.58
うどん 丸香,Udon Maruka,3.93,Jimbocho,Udon,3.99,3.94,1921,3.94,3.59,3.59,3.94,3.53
ダバ インディア,Dhaba India,3.93,Kyobashi,India cuisine,3.97,3.87,1347,3.94,3.61,3.62,3.67,3.60
岸田屋,Kishidaya,3.93,Kachidoki,Izakaya (Tavern),3.92,3.52,483,3.93,3.80,3.95,3.82,3.59
ラトリエ ドゥ プレジール,L'atelier de Plaisir,3.93,Soshigaya Okura,Bread,3.50,3.93,330,3.93,3.68,3.62,3.59,3.08
鰻家,Unagiya,3.93,Higashi Nagasaki,Unagi (Freshwater eel),3.70,3.98,240,3.96,3.59,3.59,3.58,3.51
ラ シャッス,LA CHASSE,3.93,Roppongi Itchome,French,3.93,-,92,3.93,3.63,3.80,3.58,3.67
鮨 久いち,Sushihisaichi,3.93,Asakusa,Sushi,3.59,3.96,66,3.89,3.62,3.65,3.61,3.59
